name,tags,description
delapouite/lead-pipe,cluedo metal tool weapon,A hollow cylinder conveying water. Dangerous for the health because of saturnism or Cluedo murderers.
delapouite/leak,liquid,These drops will form an ocean… soon.
delapouite/leapfrog,action sport,A high jump above a sport partner during a gymnastics exercise.
delapouite/leather-armor,armor clothing,A chest protection for female warriors with a small utility belt.
delapouite/led,electronic light,Light emitting diode used in small device to show if a functionality is enabled.
delapouite/leek,fruit,"This white and green vegetable is the perfect ingredient for soup.
It's also the favorite weapon of Farfetch'd."
delapouite/leg-armor,armor boot,Metal protections from knee to ankle. Not so easy to cross ford with such heavy boots.
delapouite/leg,anatomy boot,This limb belongs to the lower part of the body from foot to thigh.
delapouite/lemon,fruit,A yellow (or green) small acid fruit used as juice to prepare fish meal or cook cakes.
delapouite/leo,symbol,Lion star constellation - Zodiacal sign from July to August
delapouite/level-crossing,building door vehicle,A dangerous intersection between rails and roads protected by a barrier and a loud alarm.
delapouite/liar,head state,"This guy is not telling the truth. Like Pinocchio, the nose is growing."
delapouite/liberty-wing,symbol wing,Freedom for the Air Force.
delapouite/libra,symbol,Scale star constellation - Zodiacal sign from September to October
delapouite/libya,map,"Country from north Africa, between Tunisia and Egypt."
delapouite/life-bar,energy heart life,Eat food or use special items to get your health point back!
delapouite/life-buoy,boat life sea,Get help support before drowning. Not as safe as a jacket though.
delapouite/life-jacket,clothing sea,A personal flotation device to keep afloat in water waiting to be rescued.
delapouite/light-backpack,bag,To carry only useful equipment to go to school or on a short trip in the countryside.
delapouite/light-helm,armor hat,The lower part of this knight's head is free.
delapouite/light-projector,cinema circus light,A powerful light source to project shadows on stage actors in the spot.
delapouite/light-sabers,blade cross science-fiction,2 opposite sides of the Force clashing during a duel.
delapouite/lighter,fire household light,"Useful to lit cigarettes, pipes or bombs. Lighters need to be refill regularly with liquid fuel."
delapouite/lighthouse,building light sea,"Sailors refer to these flashing lights on the sea shore indicating harbors entrances and dangerous reefs to avoid.
Nowadays they're almost all automatically managed."
delapouite/lightning-dome,glass lightning,An electrical experimentation is happening in this glass bubble.
delapouite/lightning-flame,fire lightning,"During a violent storm, trees are vulnerable to lightining which can set them ablaze."
delapouite/lily-pads,egypt liquid plant,Huge round leaves floating in ponds where the frogs can rest in the shadow of magnificent flowers.
delapouite/lipstick,household mouth,To put red makeup around the mouth to feel prettier during seduction.
delapouite/liver,anatomy,An internal organ in the belly responsible of managing how alcohol is assimilated.
delapouite/load,electronic gui,"Loading data from a floppy disk to restore a saved file, and continue the game where it was previously stopped."
delapouite/lock-picking,lock police tool,Small pieces of metal used by robbers to break into a secure room or a safe.
delapouite/lock-spy,eye lock,Piercing through intimacy to observe some secrets during a private meetings behind a closed door.
delapouite/locked-box,container lock,The content of this crate must remain secret and well protected during transportation.
delapouite/locked-door,door lock,Access is denied with no way to go the other side without a key.
delapouite/locked-heart,heart lock,"To find the true mystery of love buried deep in our heart, a special key is needed."
delapouite/lockpicks,lock tool,Small metal sticks used by burglar to open doors instead of regular keys.
delapouite/log,farm stone-age wood,"It used to be a heavy branch belonging to an ancient tree.
Now it's just a dry wood log ready to be burnt."
delapouite/logic-gate-and,electronic symbol,"INPUT OUTPUT
A B A AND B
0 0 0
0 1 0
1 0 0
1 1 1"
delapouite/logic-gate-nand,electronic symbol,"INPUT OUTPUT
A B A NAND B
0 0 1
0 1 1
1 0 1
1 1 0"
delapouite/logic-gate-nor,electronic symbol,"INPUT OUTPUT
A B A NOR B
0 0 1
0 1 0
1 0 0
1 1 0"
delapouite/logic-gate-not,electronic symbol,"INPUT OUTPUT
A NOT A
0 1
1 0"
delapouite/logic-gate-nxor,electronic symbol,"INPUT OUTPUT
A B A XNOR B
0 0 1
0 1 0
1 0 0
1 1 1"
delapouite/logic-gate-or,electronic symbol,"INPUT OUTPUT
A B A OR B
0 0 0
0 1 1
1 0 1
1 1 1"
delapouite/logic-gate-xor,electronic symbol,"INPUT OUTPUT
A B A XOR B
0 0 0
0 1 1
1 0 1
1 1 0"
delapouite/loincloth,armor clothing,Piece of leather attach to a belt and hanging between the legs to protect weak points.
delapouite/look-at,action eye,Stare in a precise direction
delapouite/lorgnette,eye steampunk,A pair of spectacles that must be held by hands.
delapouite/louvre-pyramid,building france,A glass pyramid in the middle of the famous Museum.
delapouite/love-letter,book heart,Warm feelings and love declaration sent by an unknown lover in a sweetly perfumed mail.
delapouite/love-mystery,heart machine,Strange mechanism that make us feel warm affection or inexplicable attraction to someone.
delapouite/lovers,body heart,"A couple in love, sharing good moments in life. They may be married or simply fiancés."
delapouite/low-tide,gui liquid sea,When the level of the sea on the shore is at its minimum and seashells on rocks are revealed.
delapouite/luchador,mask mexico,South American fighter in Lucha Libre.
delapouite/lucky-fisherman,fish,The bait was good enough to capture this big carp from the river.
delapouite/lunar-module,science-fiction space vehicle,Exploration vessel like the one used during the Apollo mission on the moon.
delapouite/lunar-wand,weapon,A magical scepter with a crescent
delapouite/lungs,anatomy,Organs to breath oxygen.
delapouite/lynx-head,animal mammal,A bobcat with pointy chins and hears.
delapouite/machine-gun-magazine,gun,Ammo for an automatic weapon. It needs to be reloaded oftern.
delapouite/magic-axe,axe,Runes offers a mystical energy to this weapon that can cut through metal like butter.
delapouite/magic-hat,circus hat,A white rabbit is revealed by the magician in this famous trick.
delapouite/magic-potion,bottle celtic chemical container,"When you drink this powerful mixture prepared by ancient druids from this waterskin, you become invincible for a short period."
delapouite/magic-trident,spike weapon,A fork dealing triple damages. It's as sharp as a trio of knives piercing at various angles.
delapouite/magick-trick,circus hat,A true magician only needs a wand and a hat to make things disappear if he's a true master of illusion.
delapouite/mailbox,household gui,Container in the alley to receive stamped messages delivered by the postman.
delapouite/male,symbol,Gender specific sign for men and boys.
delapouite/mammoth,mammal stone-age,Extinct cousin of elephants but with mightier tusks. Some can be found frozen in Siberia.
delapouite/mandrill-head,mammal,A baboon species living in the rain forests of Africa. Male faces are particularly colorful.
delapouite/manta-ray,animal fish sea,A majestic flat fish deploying its large fins like a bird swimming in slow motion.
delapouite/manual-juicer,fruit kitchenware,To press and extract precious juice from oranges and lemons to drink during breakfast.
delapouite/manual-meat-grinder,kitchenware machine,Turn raw beef steaks into processed meat for various meals.
delapouite/maracas,mexico sound,A pair of rumba shaker to follow the rhythm in Caraibean music.
delapouite/marbles,ball toy,To play with friends at school during breaks.
delapouite/mars-curiosity,robot space vehicle,"A wandering robot on the red planet, analysing soil composition and taking selfies."
delapouite/mars-pathfinder,robot space vehicle,"A probe with large wings made of solar panels, emitting scientific data back to Earth."
delapouite/marshmallows,fire food wood,Melting candies on a stick that are delightful during evenings around a campfire.
delapouite/matchbox,fire household,Matches inside this box can light a small fire or even triggers a forest arson if used by a pyromaniac.
delapouite/matryoshka-dolls,container toy,Nested hollow boxes that looks like a family of scarfed Russian women from the last century.
delapouite/matter-states,weather,"The 3 states of matter: solid, liquid and gas."
delapouite/mayan-pyramid,building mexico,Huge pre-colombian temple dedicated to the sun. Long stairs lead to the summit where human sacrifices occurred.
delapouite/meal,food kitchenware,"Fork, knife and plate : everything needed to have a good diner in a tavern or a restaurant."
delapouite/mecha-head,head robot science-fiction,A silent giant robot metal head. With luminescent eyes and an angular plate on its mouth.
delapouite/mecha-mask,head mask robot science-fiction,A neutral robot face with dark eyes and angular cheeks.
delapouite/mechanic-garage,building car vehicle,A car repair shop when there's an issue in the engine or just a simple annual revision.
delapouite/medallist,body rank sport,The winner of a race or a championship with the medal around the neck. This sportsman feels glory.
delapouite/medical-thermometer,life,To measure the temperature of a patient during fever.
delapouite/medicine-pills,chemical life poison,Bits of cure against illnesses and headaches.
delapouite/medicines,chemical life,A handful of drugs to heal nasty diseases and restore body energy to its maximum.
delapouite/medieval-barracks,building,"This garnison is the training ground for infantry soldiers.
A military camp like this one is well prepared for attack."
delapouite/medieval-gate,building,Two rounded towers protecting the entrance of a castle.
delapouite/medieval-pavilion,building circus flag greek-roman,Big tent on war camps. Could be the generals headquarters or the infirmary.
delapouite/meeple-group,board toy,"A crowd of meeples: it can represents a small army, a band of peasants or even prisoners.
These meeples may belong to a common team."
delapouite/meeple-king,board toy,This monarch with a long beard is the leader of his people. It's an important figure of the game and must be protected at all cost.
delapouite/meeple,board body toy,A small character made of wood found in Carcassonne. More generally used to depict a person.
delapouite/megaphone,police sound,Amplified voice to scream during demonstrations.
delapouite/melting-ice-cube,ice,The tragic destiny of the Global Warming.
delapouite/melting-metal,metal,The hot steel is making a spash while hitting the mold.
delapouite/menhir,france greek-roman stone stone-age,A big block of rock carved in an egg shape. Menhirs were made popular by Obelix and archaeological site like Carnac or Stonehenge.
delapouite/mermaid,creature fish sea,A charming woman with a long fish tail that is often depicted as a gentle being as opposed to flying Sirens.
delapouite/mesh-network,gui map,A graph with weighted nodes connected by flexible edges.
delapouite/metal-plate,metal,Raw iron piece to build machines.
delapouite/metal-skirt,armor,Protection between belt and upper legs.
delapouite/metroid,creature science-fiction,Parasitic alien jellyfish floating around on gloomy planets to suck Samus energy.
delapouite/metronome,sound time,A ticking device to follow a rythm in songs.
delapouite/mexico,map mexico,This country is located between the USA and South America. Aztecs used to live in the Yucatan peninsula.
delapouite/microphone,sound,Device used by reporters to capture voice audio during interviews or in music studios.
delapouite/mighty-boosh,mask,"A tribal mask, totem of animals in English zoos."
delapouite/mighty-force,body energy,This fighter is about to reach its maximum power and punish the opponents with a final smash.
delapouite/military-fort,building world-wars,Bastion with miradors belonging to the army. This training ground is fortified to both keep secrecy about what's going on and prevent from enemy attacks.
delapouite/millenium-key,lock,"A golden key in the shape of an Egyptian ankh, giving access to the Room of the Soul."
delapouite/mimic-chest,creature lock mouth trap,You were reaching for the treasure when suddently your hand was gone.
delapouite/mine-truck,vehicle,A massive transportation to carry rocks out of a quarry.
delapouite/mine-wagon,mineral vehicle western,A wooden trolley to ease transportation of mineral resources like gold along a railway.
delapouite/miner,action body stone western,A prospector blowing rocks with a pickaxe waiting to stumble upon gold.
delapouite/mini-submarine,boat robot sea,"This small manned bathyscaphe is specialized in exploration mission, especially in the abyss or deep trenches in the ocean."
delapouite/mining-helmet,hat,"Mines are narrow and dark tunnels where the ceiling is low.
Having a helmet with a mounted light is part of the survival equipment in this job.
If you remove the torch, you may look like an engineer."
delapouite/missile-launcher,weapon,Ground air attack battery with a missile able to strike on another distant continent.
delapouite/moai,building civilization statue,Enigmatic statue on Easter island in the Pacific Ocean.
delapouite/modern-city,building civilization,A big town with high and shiny skyscrapers forming the Central Business District.
delapouite/moka-pot,household kitchenware,An Italian kettle to boil coffee.
delapouite/moldova,map,This country is the native place of Vigo the Carpathain.
delapouite/mona-lisa,body symbol,A very famous painting by Leonardo DaVinci exposed in the Louvre art museum in Paris.
delapouite/moncler-jacket,clothing,A bubbling plastic coat to stay warm during autumn.
delapouite/money-stack,money,A few bound banknotes that should be kept in the bank or exchange with a merchant for goods.
delapouite/monk-face,head medieval-fantasy,A priest or cleric head on its way to preach the faith and exorcise demons.
delapouite/monkey-wrench,cluedo tool weapon,To fasten nuts. This adjustable spanner was also used a weapon in Half-Life: Opposing Force.
delapouite/mono-wheel-robot,robot science-fiction,This droid needs good balance sensors to drive its integrated motorized unicycle.
delapouite/monstera-leaf,plant,Huge leaf found in tropical forest with weird holes.
delapouite/monument-valley,nature stone western,National park on the Arizona / Dakota border with beautiful scenery.
delapouite/moon-bats,animal sky vampire,A flock of vampires escaping in the night.
delapouite/moon-orbit,ball space,A satellite circling around a planet.
delapouite/mooring-bollard,boat sea,To attach boats on a pier with tight ropes.
delapouite/morgue-feet,boot death,A corpse tagged for autopsy by the forensic medical team and stored in a mortuary with other cadavers.
delapouite/morph-ball,ball,A flexible armor turned into a rolling and compact shape to access narrow places.
delapouite/mortar,gun weapon world-wars,Heavy weapon to shot round shells kilometers away.
delapouite/mountain-cave,nature,"A dark entrance to explore the undergrounds, probably a mine."
delapouite/mountain-road,nature,This twisted path can reach the summits of this mountain range.
delapouite/mouse,electronic gui household video-game,Computer device to move the cursor and click on links. More precise than a keyboard.
delapouite/move,arrow cross gui,To change elements coordinates.
delapouite/mp5,gun police weapon,Automatic riffle used in modern warfare.
delapouite/mug-shot,body police,Various photos of a suspect caught after a crime in front of a height scale. It will help witnesses to identify guilty persons.
delapouite/multiple-targets,target,You have to decide where to shoot to deal the maximum damages.
delapouite/mummy-head,creature egypt head,An evil pharaoh covered in bandages rising from the dead
delapouite/muscular-torso,anatomy sport,"Large pectorals, 6 packs and strong shoulders ready for some sport."
delapouite/mushroom-house,building mushroom,Tiny creatures like the Smurfs or Toad love to live in organic houses with a solid roof.
delapouite/mushrooms-cluster,mushroom,Half a dozen of tiny domes growing together during autumn.
delapouite/mushrooms,food mushroom,A small trio of three mushrooms. Are they poisonous? Let's try!
delapouite/musical-keyboard,machine sound,A digital piano producing electronic tunes.
delapouite/musical-notes,sound,A soft melody coming from a near by instrument.
delapouite/musical-score,sound,An empty melody where notes are missing.
delapouite/mussel,food sea shell,A black and yellow seafood often prepared with cream and fries.
delapouite/mustache,hat head,A large mustache on a noseless face with a hat
delapouite/mute,head mouth sound,"A finger blocking the lips for saying anything : to keep the secret, you have to remain quietly in silence."
delapouite/nachos,food mexico,Tortilla chips covered with melted cheese that may dipped in guacamole.
delapouite/nano-bot,robot,This microscopic robot can penetrated in blood vessels to perform work.
delapouite/neck-bite,blood mouth vampire,Vampires withdraw fresh vital juice from innocent victims right from their carotid artery.
delapouite/necklace-display,jewellery,This broad velvet collar is supported by a fake head.
delapouite/nefertiti,egypt hat head,"Egyptian Queen, wife of the pharaoh Akhenaten."
delapouite/nest-birds,bird,New born waiting to be fed by their parents.
delapouite/nest-eggs,bird egg,These eggs are about to hatch and baby birds will need protections.
delapouite/nested-hearts,heart life zelda,A small plain heart inside an empty one indicating a low health.
delapouite/nested-hexagons,symbol,"Concentric hexagons, like an infinite tunnel."
delapouite/network-bars,gui rank,The intensity of your cellphone signal. You'll never reach the 5th bar in the country.
delapouite/new-born,bird egg farm,A chick hatching from its egg.
delapouite/newspaper,book gui,"The daily paper to read the news and learn the events which make history.
Nice stories can be found in this journal."
delapouite/next-button,gui,Skip to the next track of the album.
delapouite/night-sleep,action sky,Zzzz. This half moon resplenishes all the stats by resting after a long tiresome day.
delapouite/night-vision,eye ninja,Nyctalopia ability - Being able to see in the dark like cats and owls.
delapouite/ninja-armor,clothing ninja,A long reinforced robe which is better suited than a simple kimono during combats with blades.
delapouite/ninja-velociraptor,ninja reptile,Martial arts have no secrets for this agile and dexterous dinosaur. It can fight against turtles from a rival clan.
delapouite/noodles,food,Pasta made of rice that must be eaten with chopsticks.
delapouite/nose-front,head,Smell is one of the five sense in the middle of the face.
delapouite/nose-side,anatomy head,To smell perfume or food burning.
delapouite/nuclear-plant,building energy smoke,A power factory feeding the electric grid by breaking uranium atoms and vomiting steam through huge chimneys.
delapouite/nuclear-waste,chemical container,Barrels with a hazard sign warning about the dangerous radioactive content inside.
delapouite/nunchaku,ninja weapon,Asian martial nunchuks made of two sticks connected by a chain. This is the weapon of choice of Michelangelo.
delapouite/nurse-female,head life,"This person assits surgeons and doctors during their operations, taking care of patients in hospitals."
delapouite/nurse-male,head life,"This person assits medics and doctors during their diagnosis, taking care of patients in clinics."
delapouite/o-brick,block,
delapouite/oak-leaf,plant wood,This tree leaf may be a secret ingredient of a magic potion cooked by a celtic druid.
delapouite/oasis,egypt liquid nature,"A pond of water to survive in the desert, like a checkpoint to rest and regain health."
delapouite/obelisk,building egypt france stone,Ancient tower made of stone. A famous one can be found place de la Concorde in Paris.
delapouite/observatory,building science-fiction space,Big telescope to look at the stars.
delapouite/ocarina,sound zelda,A wind instrument from South America
delapouite/oden,food,A Japanese winter dish with boiled eggs and fishcakes.
delapouite/office-chair,household,A seat on wheels to organize races between coworkers in an open space.
delapouite/offshore-platform,building sea,An oil rig extracting the precious liquid in the bedrock under the ocean.
delapouite/ogre,creature head medieval-fantasy,A gluttonous cousin of the orcs that don't hesitate to battle against trolls to grab a good meal.
delapouite/oil-pump,building liquid,Petrol extractor: it harvests precious combustible from the ground in deserted areas.
delapouite/oil-rig,building,Precious fuel collected from this tower.
delapouite/old-lantern,light steampunk western,This object needs oil to produce a dim light. It can be used to brighten the darkness of a mine.
delapouite/old-microphone,electronic sound,Audio sensor used a few decades ago during radio show.
delapouite/old-wagon,vehicle western,Transportation to reach the West in Oregon trail.
delapouite/olive,food fruit greek-roman plant,A branch with olives that may be pressed to produce oil.
delapouite/oni,creature death ninja,An angry Asian daemon with small tusks which looks like Satan.
delapouite/open-folder,book gui,A directory to keep related files about a similar topic joined together in the drawer of a desk.
delapouite/open-gate,door,"The entrance to the next area is allowed with no restrictions, any visitor can proceed."
delapouite/opened-food-can,container food,"Small round tin box with long conservation meal inside, like tuna or corned beef."
delapouite/ophiuchus,symbol,"The thirteenth and vestigial zodiac sign, the serpent bearer."
delapouite/opposite-hearts,board heart,These two hearts have the same beats because they belong together.
delapouite/orange-slice,fruit,"At first it was a ball, but now a knife turned it into a fraction.
Will it become a sweet orange juice next?"
delapouite/orange,fruit,"A citrus famous for its sweet juice, less sour than mixed lemon."
delapouite/orc-head,creature head medieval-fantasy,Repulsive and aggressive big goblin with sharp teeth like a boar. This is a good avatar for dark enemies.
delapouite/organigram,gui rank,A company organized in a top down hierarchy with the boss at the top
delapouite/ostrich,australia bird,A giant running bird cousin of the Emu. It's too heavy to fly.
delapouite/outback-hat,australia hat,Down under in the Northern Territory it's common fashion to wear crocodile teeth.
delapouite/overlord-helm,hat head medieval-fantasy,An evil commander probably escaped from the darkness of Mordor.
delapouite/oyster-pearl,ball jewellery pirate shell,Natural treasure from big shells populating oceans used to build necklace or earrings.
delapouite/packed-planks,wood,These planks are nailed together to form a solid platform.
delapouite/paddles,boat cross sea,Wooden rod used to move canoes or small boats.
delapouite/padlock-open,lock,A key has successfully unlock this padlock.
delapouite/pagoda,building civilization ninja,High tiered tower with multiple eaves built by Asian civilizations. Many of them are temples.
delapouite/paint-brush,book gui tool,To apply the right amount of color on a painting while being precise about each strokes.
delapouite/paint-bucket,gui tool,No need for brush to restore the wall : colorful paint will soon splash on the bricks.
delapouite/paint-roller,gui tool,A large brush to cover walls of paint.
delapouite/painted-pottery,container egypt kitchenware,An old jar made from clay with decoration all around. The cap is sealed to preserve the content.
delapouite/palette,book gui,Bring some colors to the paintings with a brush.
delapouite/palisade,building greek-roman spike wood,Spiky trunks aligned to form a defensive wall around a military camp or a bastion.
delapouite/palm-tree,egypt pirate plant wood,Tropical tree with large and long leaves. It produces fruit like coconut or dates.
delapouite/pan-flute,greek-roman sound,Wind pipes used by precolombian civilizations during ceremonies.
delapouite/panda,animal mammal,A black and white Chinese bear eating bamboo unfortunately near extinction.
delapouite/panzerfaust,gun weapon world-wars,German bazooka during WW2. This may be one the ancestor of current RPG.
delapouite/paper-boat,boat toy,A small brittle ship floating in the fountain of a park.
delapouite/paper-clip,book household,Small metal link to keep two related sheets of paper united but easily detachable.
delapouite/paper-plane,book toy,A lightweight sheet of paper fold into a aerodynamic shape that can fly in a classroom.
delapouite/paper-tray,container gui,A box to store important documents that need to be processed.
delapouite/paper-windmill,toy,Kids like to blow on the wings of this mill to make it spin.
delapouite/papyrus,egypt plant,Long plants living in swamps and perfect to produce paper.
delapouite/paraguay,map,A South American country in the middle of the continent. The capital is Asunción.
delapouite/parasaurolophus,reptile,"A dinosaur with a long crest behind its cranium, as if a Kangaroo decided to become a punk."
delapouite/park-bench,household nature wood,A long wooden seat where couples or family can rest.
delapouite/party-flags,circus flag household,"During a birthday party or new year's eve, these long banners decorate the place where the celebration occurs."
delapouite/party-hat,hat star,It's new year's eve and every guests at the party is disguised as a fool.
delapouite/party-popper,household,A small explosive cone for birthday parties or new year eves.
delapouite/passport,book,An official document providing indentity needed to cross borders and visit other countries.
delapouite/path-distance,gui map,A dotted path itinerary between two points.
delapouite/path-tile,nature,A dirt patch with small stones and dust seen from above. Grass may grow if this land turns to mud.
delapouite/pay-money,board hand money,Purchase an item by giving coins to a store or a merchant.
delapouite/peace-dove,bird symbol,This white dove carries an olive branch to announce the end of the war.
delapouite/peach,fruit,"A tasty fruit, almost like an apricot or a plumb."
delapouite/pear,farm food fruit,An apple cousin.
delapouite/pearl-earring,jewellery,"This pearl used to grow in an oyster, now it fits perfectly on a lobe."
delapouite/pearl-necklace,ball jewellery,A string of small precious nacre balls suspended to the neck of a rich and elegant woman.
delapouite/peas,fruit,This green vegetable is like small round beans.
delapouite/pelvis-bone,anatomy bone,"A large structural bone under the hips and the buttock, connecting the spine with the femurs."
delapouite/pencil-brush,book cross gui,"First the main guide lines of the drawing are made, then some colors are added to the shapes."
delapouite/pencil-ruler,cross book,Tools needed to trace a straight line on a paper.
delapouite/pencil,book gui household,"Wooden pen to write things down on paper, like an official document or a letter."
delapouite/pendant-key,jewellery lock string,"This key is always carried around someone's neck, so it has to open a precious lock."
delapouite/pendulum-swing,ball time toy,"Infinite balancing, inertia. Only move one on the side and watch the chain reaction."
delapouite/penguin,animal bird ice,"This bird live in freezing areas, like Antarctica. It's not able to fly but it's an excellent swimmer."
delapouite/periscope,boat sea,Device expanded from submarines to visually probe what's going on above the waterline.
delapouite/person-in-bed,household,Someone sleeping or a patient resting to recover from a disease.
delapouite/person,body,"A stand up human with no distinct feature, just a plain silhouette with a sharp edge."
delapouite/perspective-dice-five,dice,
delapouite/perspective-dice-four,dice,
delapouite/perspective-dice-one,dice,
delapouite/perspective-dice-six-faces-five,dice,
delapouite/perspective-dice-six-faces-four,board dice,
delapouite/perspective-dice-six-faces-one,dice,
delapouite/perspective-dice-six-faces-random,dice,Each face of this cube has a question mark. Throw it to resolve a long interrogation.
delapouite/perspective-dice-six-faces-six,dice,
delapouite/perspective-dice-six-faces-three,dice,
delapouite/perspective-dice-six-faces-two,dice,
delapouite/perspective-dice-six,dice,
delapouite/perspective-dice-three,dice,
delapouite/perspective-dice-two,dice,
delapouite/peru,map,Country from South America famous for the Inca civilization and ceviches.
delapouite/pharoah,egypt mask statue,"God among slaves, wearing beautiful jewelry."
delapouite/phone,gui sound,To have a remote conversation with someone.
delapouite/photo-camera,electronic gui,Optic device to take pictures and immortalize visual memories on film.
delapouite/phrygian-cap,france hat,Symbol of freedom during the French Revolution. Now worn by Marianne on postal stamps.
delapouite/piano-keys,sound,"Black and white keys pressed to produce harmonious major or minor chords and therefore, sweet music."
delapouite/pick-of-destiny,creature sound,An evil plastic thing to play the electric guitar like a rock star.
delapouite/pie-chart,gui,Representing data is a piece of cake.
delapouite/piggy-bank,household money toy,A porcelain pork to hide coins and money in a safe place. Children are proud of their little treasure.
delapouite/pikeman,body,Front row soldier in an infantry army.
delapouite/pilgrim-hat,hat,A pointy traveller hat with a buckle.
delapouite/pillow,household,Soft piece of tissue to rest your head on a bed or a couch.
delapouite/pimiento,food fruit mexico,"Hot and spicy pepper to vomit fire, even after drinking gallons of milk."
delapouite/pin,gui household,To attach paper sheets on a board or a poster on the wall.
delapouite/pinata,animal mexico,A papier-maché donkey full of candies that must be destroyed during parties.
delapouite/pinball-flipper,ball toy,A plastic bat used as a moving obstacle at the bottom of this arcade machine.
delapouite/pineapple,fruit,Exotic fruit with a spiky shell.
delapouite/ping-pong-bat,ball sport toy,A table tennis racket to play inside garages.
delapouite/pipes,liquid machine steampunk,A labyrinth of tubes to transport water or steam with a valve to control the flow.
delapouite/piranha,fish pirate,A dangerous carnivorous fish that can eat big prey when hunting in band.
delapouite/pirate-cannon,gun pirate,This heavy cannon can break enemy ships with metal balls.
delapouite/pirate-captain,head pirate,"A mighty corsair, boss of his own ship traveling across the Caribbean sea in search for gold and rum."
delapouite/pirate-coat,clothing pirate,A long coat with ample sleeves and lots of attach on the front. It protects from sea surf.
delapouite/pirate-flag,blade flag pirate skull,"This Jolly Roger is a classic laughing cranium with two sabers interleaved, floating on top of ship masts."
delapouite/pirate-hat,hat pirate,The captain of the ship's tricorne with a skull.
delapouite/pirate-hook,hand pirate,"An amputee captain missing one hand, really angry after Peter Pan."
delapouite/pisa-tower,building,"The slope is slowly increasing over the centuries. One day it will fall, and it will be louder than the Vesuvius eruption in Italy."
delapouite/pisces,symbol,Fish star constellation - Zodiacal sign from February to March
delapouite/pitchfork,farm spike tool,An agricultural tool to handle straw with pointy spike.
delapouite/pizza-slice,food,Italian food made of tomato and cheese.
delapouite/plague-doctor-profile,bird hat mask,A medical physician specialist in epidemics.
delapouite/plain-arrow,arrow gui,Fat arrow heavily pointing to the way to follow.
delapouite/plain-circle,ball gui,A full disc with no imperfections.
delapouite/plain-square,gui,The area can be calculated with a power of 2.
delapouite/plane-pilot,head,"With special goggles, this driver can flight for long distances."
delapouite/plane-wing,vehicle wing,Needed on both side of the air plane to make it fly through the air.
delapouite/planet-conquest,flag space,Space exploration is a race where the first to land own the land.
delapouite/planet-core,ball space,Layers of molten lava protecting the magnetic core under the surface crust.
delapouite/planks,wood,Timber pieces found in a joinery to build cabinets.
delapouite/plant-roots,farm plant,"The underground network of a flower, growing in the soil."
delapouite/plant-watering,farm liquid plant,Rain or nutritive water coming from a can is the most basic secret to keep plant growing.
delapouite/plastic-duck,bird toy,This yellow ducling floats in the bath between foam.
delapouite/player-base,board building,The head-quarter of the troops is located in this place.
delapouite/player-next,arrow board,The game turn goes forward and a new player has to decide what action to perform.
delapouite/player-previous,arrow board,The game turn goes back to the player who made the action earlier.
delapouite/player-time,board time,Think wisely during the precious seconds of your turn.
delapouite/plesiosaurus,reptile sea,"This is a swimming Diplodocus, probably the kind of marine beast that inspired so many Loch Ness monster witnesses."
delapouite/plow,farm tool,Strong blade at the end of a wooden beam to prepare sowing in the soil.
delapouite/plug,electronic energy machine,If the cord is long enough this will connect a socket to an electrical appliance.
delapouite/plunger,tool,The plumber use this rubber cup to unblock drains and pipes.
delapouite/pocket-radio,electronic sound,This small music device need big batteries and is only able to receive FM or AM bands input.
delapouite/podium-second,rank sport,This sportsman finished at the second place during the championship. The silver medal will be the award.
delapouite/podium-third,rank sport,This player finished at the third place during the sport event. The bronze medal will be the prize.
delapouite/podium-winner,rank sport,This athlete finished first during the competition. The gold medal will be the awards.
delapouite/podium,rank sport,Stand on the first step after a great victory and drink Champagne.
delapouite/police-car,car police vehicle,An emergency vehicle using its blue and red alarm to dash through the streets.
delapouite/police-officer-head,head police,"An agent of the law in charge of capturing bad guys and keep peace around.
He can be an avatar of justice."
delapouite/police-target,body police target,A dummy paper silhouette used in shooting grounds to train to aim the critical parts of a bad guy.
delapouite/polo-shirt,clothing,"T-shirt with a collar, short sleeves but no pocket."
delapouite/poncho,clothing mexico western,A traditional outfit from South America with colored stripes.
delapouite/pool-dive,sport,Jumping majestically (or not) in a swimming pool or a river without making a big splash.
delapouite/popcorn,cinema circus food,Roasted cereals with sugar you eat watching tv.
delapouite/pope-crown,hat,"This holy papal tiara can also be worn by clerics, monks or bishops to mark their leadership over the priest order."
delapouite/porcelain-vase,container kitchenware,"A precious pot with a long neck and fine drawings. It's very brittle, almost like glass."
delapouite/portrait,head,This framed painting depicts a face and narrow shoulders. It's not a landscape.
delapouite/portugal,map,A small European country surrounded by Spain.
delapouite/position-marker,gui map,Waypoint showing a specific location on a map.
delapouite/post-stamp,book,
delapouite/potato,food fruit,"A tuberous vegetable from America which is now ubiquitous in meals: mash, chips, crisps…
It's also a good battery for Glados."
delapouite/pouring-pot,kitchenware liquid,This bottle can carry milk or water during meals.
delapouite/powder-bag,bag,"A big burlap bag with tiny grains, like seeds, salt or sugar. It can also be spices."
delapouite/power-generator,energy machine science-fiction,A metal box producing electricity by concentrating static energy available in the air.
delapouite/power-ring,jewellery,The small ruby may be magic or simply serves to show its owner wealth.
delapouite/prayer-beads,jewellery,A necklace used for religious concentration.
delapouite/praying-mantis,animal insect,Big and lean green insect. Females eat males after mating.
